place_name,region,source,review_count,rating,cuisine,eating_type,price,range,comment,second_comment,location.1,rating_google,location,formatted_region
Warung Babi Guling Bu Dayu,Kuta,https://www.tripadvisor.com/Restaurant_Review-g297697-d8376379-Reviews-Warung_Babi_Guling_Bu_Dayu-Kuta_Kuta_District_Bali.html#REVIEWS,105,Low,"Asian, Indonesian",Cheap Eats,Cheap,21.9 mi,Best Bubi Guling!!!!,Best nasi campur!,"{'lat': -8.7221689, 'lng': 115.1773521}",4.5,"Jl. Raya Kuta No.116, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","Kuta, Badung"
Candi Warung,Peliatan,https://www.tripadvisor.com/Restaurant_Review-g3932211-d13387508-Reviews-Candi_Warung-Peliatan_Ubud_Gianyar_Regency_Bali.html#REVIEWS,64,Low,Asian,Cheap Eats,Cheap,9.0 mi,"Excellent Food and Service, at Very...",GREAT DINNER,"{'lat': -8.6726904, 'lng': 115.1647145}",4.5,"Jl. Raya Kerobokan No.10, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","Kuta Utara, Badung"
Ibu Putu's Warung,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d1182690-Reviews-Ibu_Putu_s_Warung-Ubud_Gianyar_Regency_Bali.html#REVIEWS,93,Low,"Asian, Indonesian",Cheap Eats,Cheap,8.0 mi,Our Favorite Warung in the World,Awesome cheap food,"{'lat': -8.5032657, 'lng': 115.2521908}",4.8,"Jl. Banjar Penestanan Kaja Gg. Pacekan No.23, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Littletalks Ubud,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d10758498-Reviews-Littletalks_Ubud-Ubud_Gianyar_Regency_Bali.html#REVIEWS,81,Low,"Cafe, Indonesian",Cheap Eats,Cheap,8.1 mi,Americans will love the menu (both meat...,Cute bohemian cafe with river valley view,"{'lat': -8.5127487, 'lng': 115.258219}",4.6,"Jl. Bisma, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Warung Pama,Kuta,https://www.tripadvisor.com/Restaurant_Review-g297697-d2306040-Reviews-Warung_Pama-Kuta_Kuta_District_Bali.html#REVIEWS,132,Low,"Asian, Indonesian",Cheap Eats,Cheap,21.7 mi,Fantastic time,Amazing Mexican!,"{'lat': -8.718805999999999, 'lng': 115.1736295}",4.6,"Gg. Sorga No.1, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","Kuta, Badung"
Bella by Sage,Sayan,https://www.tripadvisor.com/Restaurant_Review-g2209545-d17457944-Reviews-Bella_by_Sage-Sayan_Ubud_Gianyar_Regency_Bali.html#REVIEWS,82,Low,"Italian, American",Cheap Eats,Cheap,8.2 mi,Absolutely delicious vegan food even...,Very delicious!,"{'lat': -8.506266499999999, 'lng': 115.2532654}",4.6,"F7V3+F8R, Jl. Penestanan, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Baby Revolver,Seminyak,https://www.tripadvisor.com/Restaurant_Review-g469404-d10153980-Reviews-Baby_Revolver-Seminyak_Kuta_District_Bali.html#REVIEWS,110,Low,"Coffee & Tea, Cafe",Cheap Eats,Cheap,18.9 mi,Baby Revolver but just as nice,Great coffee exists in Bali!,"{'lat': -8.6766354, 'lng': 115.1558896}",4.6,"Jl. Petitenget No.103a, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","Kuta Utara, Badung"
Secret Spot Canggu,Canggu,https://www.tripadvisor.com/Restaurant_Review-g311298-d12928910-Reviews-Secret_Spot_Canggu-Canggu_North_Kuta_Bali.html#REVIEWS,113,Low,"Dessert, Cafe",Cheap Eats,Cheap,17.9 mi,"Good food, good service, good drink, clean",Secret spot,"{'lat': -8.6507835, 'lng': 115.1343239}",4.5,"Jl. Tanah Barak No.7, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","Kuta Utara, Badung"
Duatiga Cafe,Tibubeneng,https://www.tripadvisor.com/Restaurant_Review-g10086747-d15142297-Reviews-Duatiga_Cafe-Tibubeneng_North_Kuta_Bali.html#REVIEWS,77,Low,"Coffee & Tea, American",Cheap Eats,Cheap,17.9 mi,Recommended Cafe,"Nice experience , nice concept, food good...","{'lat': -8.6598752, 'lng': 115.1400686}",4.6,"Jl. Pantai Berawa No.102, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","Kuta Utara, Badung"
Magoes Warung Bedugul,Candikuning,https://www.tripadvisor.com/Restaurant_Review-g12706773-d16657093-Reviews-Magoes_Warung_Bedugul-Candikuning_Baturiti_Bali.html#REVIEWS,67,Low,"Coffee & Tea, Indonesian",Cheap Eats,Cheap,9.8 mi,Pleasant and Delicious escape from chaos.,Its a must when visit Bedugul,"{'lat': -8.2665247, 'lng': 115.1642027}",4.8,"Jl. Raya Bedugul, Candikuning, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia","Baturiti, Tabanan"
Warung Tepi Sari,Pejeng,https://www.tripadvisor.com/Restaurant_Review-g635751-d12034366-Reviews-Warung_Tepi_Sari-Pejeng_Tampaksiring_Gianyar_Regency_Bali.html#REVIEWS,67,Low,"European, Indonesian",Cheap Eats,Cheap,8.6 mi,Wonderful find outside of town.,Our new favourite warung,"{'lat': -8.4906167, 'lng': 115.2821986}",4.5,"Jl. Raya Pejeng Kawan, Pejeng Kawan, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552, Indonesia","Tampaksiring, Gianyar"
The Gallery Nusa Penida,Nusa Penida,https://www.tripadvisor.com/Restaurant_Review-g2538506-d9681090-Reviews-The_Gallery_Nusa_Penida-Nusa_Penida_Bali.html#REVIEWS,124,Low,"Cafe, International",Cheap Eats,Cheap,29.2 mi,Best value breakfast!,Great vegetarian place with lots of...,"{'lat': -8.678116, 'lng': 115.5158113}",4.3,"Jln. Raya Bodong, Klungkun, 80771, Ped, Nusa Penida, Klungkung Regency, Bali 80771, Indonesia","Nusa Penida, Klungkung"
Made's Banana Flour Cafes Ubud,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d15674531-Reviews-Made_s_Banana_Flour_Cafes_Ubud-Ubud_Gianyar_Regency_Bali.html#REVIEWS,57,Low,Cafe,Cheap Eats,Cheap,8.0 mi,"awesome acai bowl, tastes super fresh...",Best desserts in Ubud❤️,"{'lat': -8.4920632, 'lng': 115.2666964}",4.4,"Jl. Sri Wedari, Ubud, Kec. Tegallalang, Kabupaten Gianyar, Bali 80571, Indonesia","Tegallalang, Gianyar"
Warung Be Pasih,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d9818969-Reviews-Warung_Be_Pasih-Ubud_Gianyar_Regency_Bali.html#REVIEWS,129,Low,"Seafood, Indonesian",Cheap Eats,Cheap,9.3 mi,Bi Pasih makes me Be Happih,Fresh seafood.,"{'lat': -8.6754638, 'lng': 115.2406239}",4.5,"Jl. Pemuda III No.24, Renon, Denpasar Selatan, Kota Denpasar, Bali 80239, Indonesia","Denpasar Selatan, Denpasar"
Warung Nasi Ayam Bu Oki,Nusa Dua,https://www.tripadvisor.com/Restaurant_Review-g297698-d10798287-Reviews-Warung_Nasi_Ayam_Bu_Oki-Nusa_Dua_Nusa_Dua_Peninsula_Bali.html#REVIEWS,98,Low,"Asian, Street Food",Cheap Eats,Cheap,27.7 mi,AWESOME,Must try. Spicy alert for foreigners.,"{'lat': -8.7438992, 'lng': 115.1791921}",4.4,"Jl. Raya Tuban No.3, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","Kuta, Badung"
D'Byas Dream Beach Club and Warung,Nusa Lembongan,https://www.tripadvisor.com/Restaurant_Review-g1137831-d12245447-Reviews-D_Byas_Dream_Beach_Club_and_Warung-Nusa_Lembongan_Bali.html#REVIEWS,124,Low,"American, European",Cheap Eats,Cheap,25.8 mi,A lovely place,Wonderful stay,"{'lat': -8.6906194, 'lng': 115.4336949}",4.2,"Dream Beach Lembongan, Jungutbatu, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771, Indonesia","Nusa Penida, Klungkung"
Warung Cahaya,Seminyak,https://www.tripadvisor.com/Restaurant_Review-g469404-d5503478-Reviews-Warung_Cahaya-Seminyak_Kuta_District_Bali.html#REVIEWS,255,Average,"Quick Bites, Asian",Cheap Eats,Cheap,20.3 mi,Great sambal matah,modest food but superb chili,"{'lat': -8.6995377, 'lng': 115.174982}",4.3,"Jl. Dewi Ratih No.1, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","Kuta, Badung"
Warung Balifornia,Sukawati,https://www.tripadvisor.com/Restaurant_Review-g2646686-d12130353-Reviews-Warung_Balifornia-Sukawati_Gianyar_Regency_Bali.html#REVIEWS,101,Low,"Pizza, European",Cheap Eats,Cheap,11.7 mi,Nice atmosphere and tasty food,Good fresh tasty food,"{'lat': -8.509556, 'lng': 115.2588262}",4.1,"Jl. Bisma No.34, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Warung Seni,Tejakula,https://www.tripadvisor.com/Restaurant_Review-g1791618-d12094537-Reviews-Warung_Seni-Tejakula_Buleleng_Regency_Bali.html#REVIEWS,45,Low,"Italian, Asian",Cheap Eats,Cheap,22.2 mi,Family lunch,Wonderful jungle cafe,"{'lat': -8.1270625, 'lng': 115.3511875}",4.8,"Tejakula, Buleleng Regency, Bali 81173, Indonesia","Tejakula, Buleleng"
Doppio Zero Bali,Pecatu,https://www.tripadvisor.com/Restaurant_Review-g1380108-d17376290-Reviews-Doppio_Zero_Bali-Pecatu_Bukit_Peninsula_Bali.html#REVIEWS,54,Low,"Italian, Bar",Cheap Eats,Cheap,29.2 mi,Best pizza in town,Doppio Zero a Pizza make'a you Happy,"{'lat': -8.8163506, 'lng': 115.092936}",4.8,"Jl. Labuansait Jl. Pantai Suluban, Pecatu, Uluwatu, Kabupaten Badung, Bali 80361, Indonesia","Kuta Selatan, Badung"
Spicy Geg x Javara Culture,Nusa Dua,https://www.tripadvisor.com/Restaurant_Review-g297698-d15213356-Reviews-Spicy_Geg_x_Javara_Culture-Nusa_Dua_Nusa_Dua_Peninsula_Bali.html#REVIEWS,110,Low,Indonesian,Cheap Eats,Cheap,27.8 mi,OMG... Will be eating here for the next...,Fabulous food. Highly recommended,"{'lat': -8.8057068, 'lng': 115.2247572}",0,"KENJA BUILDING, Kawasan ITDC Lot RA 7, Jl. Pantai Mengiat Jl. Raya Nusa Dua Selatan, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia","Kuta Selatan, Badung"
Warung Sunrise,Sanur,https://www.tripadvisor.com/Restaurant_Review-g297700-d3223731-Reviews-Warung_Sunrise-Sanur_Denpasar_Bali.html#REVIEWS,189,Low,"Asian, Grill",Cheap Eats,Cheap,19.2 mi,A cool breezy bar at Sanur,We had the best night here!,"{'lat': -8.6745576, 'lng': 115.2635562}",4,"87G7+5C4, Jl. Hang Tuah, Sanur Kaja, Denpasar Selatan, Kota Denpasar, Bali, Indonesia","Denpasar Selatan, Denpasar"
Warung Liku,Denpasar,https://www.tripadvisor.com/Restaurant_Review-g297694-d3156058-Reviews-Warung_Liku-Denpasar_Bali.html#REVIEWS,111,Low,"Asian, Indonesian",Cheap Eats,Cheap,20.4 mi,The best ayam betutu in Bali👍,Best ayam betutu,"{'lat': -8.6999941, 'lng': 115.1811571}",4.6,"Jalan Nakula No.19A, Seminyak, Kuta, Legian, Pemecutan Klod, Kec. Denpasar Bar., Kabupaten Badung, Bali 80361, Indonesia","Denpasar Barat, Denpasar"
Warung Nelayan Sanur,Sanur,https://www.tripadvisor.com/Restaurant_Review-g297700-d10463945-Reviews-Warung_Nelayan_Sanur-Sanur_Denpasar_Bali.html#REVIEWS,146,Low,"Bar, Cafe",Cheap Eats,Cheap,20.4 mi,Best coffee in Sanur,Thank You Pak Agus!,"{'lat': -8.691329999999999, 'lng': 115.2666912}",4.5,"8758+FM8, Jl. Segara Ayu, Sanur, Denpasar Selatan, Kota Denpasar, Bali, Indonesia","Denpasar Selatan, Denpasar"
Warung Rusti,Tulamben,https://www.tripadvisor.com/Restaurant_Review-g469406-d6914842-Reviews-Warung_Rusti-Tulamben_Bali.html#REVIEWS,77,Low,"Asian, Indonesian",Cheap Eats,Cheap,28.9 mi,Good food reasonable price.,What a fabulous find if you like local...,"{'lat': -8.2764658, 'lng': 115.5914368}",4.6,"Jl. Amlapura Singaraja, Tulamben, Kec. Kubu, Kabupaten Karangasem, Bali 80853, Indonesia","Kubu, Karangasem"
Siboghana Waroeng,Gianyar,https://www.tripadvisor.com/Restaurant_Review-g297695-d13396840-Reviews-Siboghana_Waroeng-Gianyar_Gianyar_Regency_Bali.html#REVIEWS,57,Low,"Asian, Indonesian",Cheap Eats,Cheap,9.8 mi,Delicious authentic Indonesian food,Cheap and nutritious Balinese vegan...,"{'lat': -8.5243419, 'lng': 115.2667877}",4.7,"Jl. Made Lebah No.36, Peliatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Warung Nyoman Kitchen,Sanur,https://www.tripadvisor.com/Restaurant_Review-g297700-d17546685-Reviews-Warung_Nyoman_Kitchen-Sanur_Denpasar_Bali.html#REVIEWS,48,Low,"Indonesian, European",Cheap Eats,Cheap,20.2 mi,Outstanding,Hidden gem!,"{'lat': -8.689041, 'lng': 115.2618989}",4.7,"Jl. Pungutan I No.15 C, Semawang, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia","Denpasar Selatan, Denpasar"
Warung Varuna,Canggu,https://www.tripadvisor.com/Restaurant_Review-g311298-d10035198-Reviews-Warung_Varuna-Canggu_North_Kuta_Bali.html#REVIEWS,119,Low,"Asian, Indonesian",Cheap Eats,Cheap,17.7 mi,Great food and value,Yummiest food ever!!,"{'lat': -8.654793399999999, 'lng': 115.1316872}",4.4,"Jl. Pantai Batu Bolong No.89x, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali, Indonesia","Kuta Utara, Badung"
TYGR Sushi,Canggu,https://www.tripadvisor.com/Restaurant_Review-g311298-d12502936-Reviews-TYGR_Sushi-Canggu_North_Kuta_Bali.html#REVIEWS,137,Low,"Japanese, Sushi",Cheap Eats,Cheap,17.9 mi,Super value - finally a chair thst u can...,I can't get enough! Love it,"{'lat': -8.6604218, 'lng': 115.1413179}",4.4,"Jl. Pantai Berawa No.999X, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","Kuta Utara, Badung"
La Prissa Kitchen,Sanur Kauh,https://www.tripadvisor.com/Restaurant_Review-g19515105-d23259787-Reviews-La_Prissa_Kitchen-Sanur_Kauh_Denpasar_Bali.html#REVIEWS,62,Low,"American, Pizza",Cheap Eats,Cheap,21.0 mi,aesthetic atmosphere,Hidden Gem,"{'lat': -8.7014845, 'lng': 115.2540398}",4.9,"Jl. Tirta Nadi II No.20, Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali 80227, Indonesia","Denpasar Selatan, Denpasar"
Artini Warung,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d6676276-Reviews-Artini_Warung-Ubud_Gianyar_Regency_Bali.html#REVIEWS,202,Average,"Asian, Pizza",Cheap Eats,Cheap,9.1 mi,Nice pizza’s,Little Oasis,"{'lat': -8.5155172, 'lng': 115.2636992}",4,"Jl. Hanoman, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Munchies Kuta Bali,Kuta,https://www.tripadvisor.com/Restaurant_Review-g297697-d13847091-Reviews-Munchies_Kuta_Bali-Kuta_Kuta_District_Bali.html#REVIEWS,54,Low,Australian,Cheap Eats,Cheap,21.7 mi,Amazing food!!!,Munchies Cafe,"{'lat': -8.7188345, 'lng': 115.1727528}",4.3,"Gg. Sorga, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","Kuta, Badung"
"D'Sawah Amed Homestay, Warung & So Much More",Amed,https://www.tripadvisor.com/Restaurant_Review-g608478-d10717058-Reviews-D_Sawah_Amed_Homestay_Warung_So_Much_More-Amed_Abang_Karangasem_Bali.html#REVIEWS,45,Low,"Italian, Indian",Cheap Eats,Cheap,31.0 mi,Awesome cooking class,"Never want to eat anywhere else, best...","{'lat': -8.3349709, 'lng': 115.6357294}",4.9,"Jl. I Ketut Natih, Purwakerti, Kec. Abang, Kabupaten Karangasem, Bali 80852, Indonesia","Abang, Karangasem"
Rojo's Breakfast Bali,Canggu,https://www.tripadvisor.com/Restaurant_Review-g311298-d6496856-Reviews-Rojo_s_Breakfast_Bali-Canggu_North_Kuta_Bali.html#REVIEWS,107,Low,Cafe,Cheap Eats,Cheap,18.2 mi,Interesting place for breakfast,Has a book exchange!,"{'lat': -8.6640853, 'lng': 115.1397833}",4.6,"Jalan Pantai Berawa No.4, Banjar Berawa, Canggu, Tibubeneng, Kuta Utara, Tibubeneng, Kuta Utara, Badung Regency, Bali 80361, Indonesia","Kuta Utara, Badung"
Jungle Warung,Nusa Penida,https://www.tripadvisor.com/Restaurant_Review-g2538506-d10044468-Reviews-Jungle_Warung-Nusa_Penida_Bali.html#REVIEWS,129,Low,"Asian, Indonesian",Cheap Eats,Cheap,28.6 mi,Delicious BBQ red snapper,best resto in Nusa,"{'lat': -8.6940182, 'lng': 115.4893449}",4.4,"8F4Q+9PV, Sakti, Nusapenida, Sakti, Klungkung, Kabupaten Klungkung, Bali 80771, Indonesia","Klungkung, Klungkung"
Living Kitchen Bali,Canggu,https://www.tripadvisor.com/Restaurant_Review-g311298-d12878819-Reviews-Living_Kitchen_Bali-Canggu_North_Kuta_Bali.html#REVIEWS,77,Low,"Italian, Asian",Cheap Eats,Cheap,18.1 mi,Food at livingstone,Smoothiest Smoothies,"{'lat': -8.6595982, 'lng': 115.1337054}",4.3,"Jl. Nelayan No.77x, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80351, Indonesia","Kuta Utara, Badung"
Warung Kolega,Legian,https://www.tripadvisor.com/Restaurant_Review-g608487-d3191628-Reviews-Warung_Kolega-Legian_Kuta_District_Bali.html#REVIEWS,149,Low,"Asian, Indonesian",Cheap Eats,Cheap,20.5 mi,Plenty to choose Indonesian food,Nasi Campur....Best in Bali,"{'lat': -8.702020100000002, 'lng': 115.1782224}",4.5,"Jl. Dewi Sri No.17, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","Kuta, Badung"
Gerua Multi Cuisine,Canggu,https://www.tripadvisor.com/Restaurant_Review-g311298-d17366805-Reviews-Gerua_Multi_Cuisine-Canggu_North_Kuta_Bali.html#REVIEWS,43,Low,"Indian, Southwestern",Cheap Eats,Cheap,17.2 mi,One of the best Currys on Bali,Great in canggu,"{'lat': -8.6495752, 'lng': 115.1374234}",4.3,"Jl. Pantai Batu Bolong No.30, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","Kuta Utara, Badung"
Monsieur Spoon Pererenan,Pererenan,https://www.tripadvisor.com/Restaurant_Review-g5323528-d17732915-Reviews-Monsieur_Spoon_Pererenan-Pererenan_Canggu_North_Kuta_Bali.html#REVIEWS,50,Low,"French, Cafe",Cheap Eats,Cheap,17.5 mi,Great little place!,Excellent French fresh baked croissants...,"{'lat': -8.6495464, 'lng': 115.1229326}",4.7,"Jl. Pantai Pererenan No.164, Pererenan, Kec. Mengwi, Kabupaten Badung, Bali 86000, Indonesia","Mengwi, Badung"
Warung Magendra,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d10064496-Reviews-Warung_Magendra-Ubud_Gianyar_Regency_Bali.html#REVIEWS,72,Low,"Indonesian, Asian",Cheap Eats,Cheap,8.5 mi,Still awesome!,Hidden Gem,"{'lat': -8.5016899, 'lng': 115.2663754}",4.1,"Jl. Sri Wedari No.54, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Wikandar Grill,Nusa Lembongan,https://www.tripadvisor.com/Restaurant_Review-g1137831-d20088479-Reviews-Wikandar_Grill-Nusa_Lembongan_Bali.html#REVIEWS,41,Low,"Asian, British",Cheap Eats,Cheap,25.7 mi,Great barbecue spot!,Delicious,"{'lat': -8.6886102, 'lng': 115.4340258}",4.8,"Lembongan, Nusa Penida, Klungkung Regency, Bali 80771, Indonesia","Nusa Penida, Klungkung"
Warung Igelanca,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d1182745-Reviews-Warung_Igelanca-Ubud_Gianyar_Regency_Bali.html#REVIEWS,163,Low,"Asian, Indonesian",Cheap Eats,Cheap,8.9 mi,Best sate in Bali,Old Favourite,"{'lat': -8.5087725, 'lng': 115.2668435}",4.4,"F7R8+FPX, Jl. Raya, Padangtegal Kaja, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Warung Don Biu,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d13089324-Reviews-Warung_Don_Biu-Ubud_Gianyar_Regency_Bali.html#REVIEWS,94,Low,"Asian, Indonesian",Cheap Eats,Cheap,9.2 mi,"Very nice, cozy place, great food",Lovely smart warung just off,"{'lat': -8.7077572, 'lng': 115.1792681}",4.8,"Jl. Dewi Sri III No.4, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","Kuta, Badung"
Rai Pasti Rice View Restaurant,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d2305897-Reviews-Rai_Pasti_Rice_View_Restaurant-Ubud_Gianyar_Regency_Bali.html#REVIEWS,311,Average,"Asian, Indonesian",Cheap Eats,Cheap,8.9 mi,Really nice place,Good Find in Ubud,"{'lat': -8.513857699999999, 'lng': 115.2605711}",4.4,"Jalan Wenara Wana, Ubud, Kec. Gianyar, Kabupaten Gianyar, Bali 80571, Indonesia","Gianyar, Gianyar"
Warung Makan De 5,Karangasem,https://www.tripadvisor.com/Restaurant_Review-g608484-d3193941-Reviews-Warung_Makan_De_5-Karangasem_Bali.html#REVIEWS,69,Low,"Asian, Indonesian",Cheap Eats,Cheap,26.5 mi,Lovely local restaurant with chinese food,Very tasty,"{'lat': (None) , 'lng': (None)}",,"Jl. Raya Candidasa, Nyuh Tebel, Kec. Manggis, Kabupaten Karangasem, Bali 80871","Manggis, Karangasem"
Nagi Kitchen Coffee Sushi,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d15198559-Reviews-Nagi_Kitchen_Coffee_Sushi-Ubud_Gianyar_Regency_Bali.html#REVIEWS,67,Low,"Japanese, Cafe",Cheap Eats,Cheap,8.5 mi,Nice place to est,Great Food and Great Presentation,"{'lat': -8.5000499, 'lng': 115.2727707}",4.5,"Jl. Raya Andong No.88x, Petulu, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Kedai Ayam Ibu Oki,Nusa Dua,https://www.tripadvisor.com/Restaurant_Review-g297698-d4737296-Reviews-Kedai_Ayam_Ibu_Oki-Nusa_Dua_Nusa_Dua_Peninsula_Bali.html#REVIEWS,220,Average,"Asian, Indonesian",Cheap Eats,Cheap,28.0 mi,It’s easy to miss the junction,Nusadua chili chicken rice 25K,"{'lat': -8.784101, 'lng': 115.1725848}",4.5,"Jl. Celagi Basur No.3Y, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","Kuta Selatan, Badung"
Waroeng Pan Yoga,Jimbaran,https://www.tripadvisor.com/Restaurant_Review-g297696-d8804013-Reviews-Waroeng_Pan_Yoga-Jimbaran_South_Kuta_Bali.html#REVIEWS,147,Low,"Indonesian, Seafood",Cheap Eats,Cheap,25.8 mi,Nice and cheap,"Nice place, variant menu","{'lat': -8.777798299999999, 'lng': 115.1703129}",4.4,"Jl. Uluwatu I No.79, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","Kuta Selatan, Badung"
Joglo Organik,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d12600388-Reviews-Joglo_Organik-Ubud_Gianyar_Regency_Bali.html#REVIEWS,53,Low,"Asian, Indonesian",Cheap Eats,Cheap,7.8 mi,Tasty food,Delicious food with lovely ambience,"{'lat': -8.494398, 'lng': 115.2592989}",4.6,"Jl. Subak Sok Wayah, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Kedai Roponggi,Sanur,https://www.tripadvisor.com/Restaurant_Review-g297700-d7898593-Reviews-Kedai_Roponggi-Sanur_Denpasar_Bali.html#REVIEWS,78,Low,"Dessert, Indonesian",Cheap Eats,Cheap,19.9 mi,AMMMMAZZZING,Must Try Dessert,"{'lat': -8.6822611, 'lng': 115.1651535}",4.4,"Jl. Sunset Road No.125A, Kerobokan Kelod, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","Kuta, Badung"
Babi Guling Slingsing,Tabanan,https://www.tripadvisor.com/Restaurant_Review-g608496-d9560358-Reviews-Babi_Guling_Slingsing-Tabanan_Bali.html#REVIEWS,49,Low,"Asian, Indonesian",Cheap Eats,Cheap,10.1 mi,For the pork lover,Best of the Best,"{'lat': -8.6102989, 'lng': 115.1390571}",4.6,"Jl. Raya Munggu-Kapal, Cepaka, Kec. Kediri, Kabupaten Badung, Bali 80351, Indonesia","Kediri, Badung"
Warung Babi Guling Men Gede,Kuta,https://www.tripadvisor.com/Restaurant_Review-g297697-d10514051-Reviews-Warung_Babi_Guling_Men_Gede-Kuta_Kuta_District_Bali.html#REVIEWS,56,Low,"Asian, Indonesian",Cheap Eats,Cheap,21.8 mi,Best warung food in Kuta? You be the judge,Cheap and tasty local restaurant in Kuta,"{'lat': -8.7206245, 'lng': 115.1703307}",4.6,"Jl. Poppies I, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","Kuta, Badung"
Nasi Ayam Men Weti,Sanur,https://www.tripadvisor.com/Restaurant_Review-g297700-d8758350-Reviews-Nasi_Ayam_Men_Weti-Sanur_Denpasar_Bali.html#REVIEWS,130,Low,"Asian, Indonesian",Cheap Eats,Cheap,19.8 mi,sunday breakfast,Bfast,"{'lat': -8.6825478, 'lng': 115.2637904}",4.4,"8787+XGM, Jl. Segara Ayu, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80227, Indonesia","Denpasar Selatan, Denpasar"
Rumah Sushi Bali,Dauh Puri Klod,https://www.tripadvisor.com/Restaurant_Review-g23230310-d23169242-Reviews-Rumah_Sushi_Bali-Dauh_Puri_Klod_Denpasar_Bali.html#REVIEWS,32,Low,"International, Fusion",Cheap Eats,Cheap,19.6 mi,The best quality,The put sign CLOSED,"{'lat': -8.792049, 'lng': 115.1635681}",4.6,"Jl. Uluwatu I No.09, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","Kuta Selatan, Badung"
Menari Coffee,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d8681252-Reviews-Menari_Coffee-Ubud_Gianyar_Regency_Bali.html#REVIEWS,82,Low,"Asian, Indonesian",Cheap Eats,Cheap,8.4 mi,Sweet little warung,best pizza & coffee at a great price...,"{'lat': -8.5023701, 'lng': 115.2628578}",4.3,"Jl. Kajeng No.35, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
